Heliostat No. 15360: x=-129.455508m | y=756.879427m
Heliostat No. 15420: x=-628.180494m | y=389.498618m
Heliostat No. 15480: x=-678.968975m | y=-227.847153m
Heliostat No. 15540: x=-246.991351m | y=-671.796028m
Heliostat No. 15600: x=371.511829m | y=-637.897844m
Heliostat No. 15660: x=752.384983m | y=-149.399215m
Heliostat No. 15720: x=643.901588m | y=464.365251m
Heliostat No. 15780: x=109.538228m | y=779.277328m
Heliostat No. 15840: x=-481.280778m | y=590.473937m
Heliostat No. 15900: x=-733.999393m | y=24.040253m
Heliostat No. 15960: x=-479.849089m | y=-541.752501m
Heliostat No. 16020: x=111.445506m | y=-729.061121m
Heliostat No. 16080: x=645.010753m | y=-412.798659m
Heliostat No. 16140: x=773.796559m | y=204.453933m
Heliostat No. 16200: x=397.792846m | y=698.739931m
Heliostat No. 16260: x=-220.722667m | y=754.739934m
Heliostat No. 16320: x=-679.388958m | y=336.024430m
Heliostat No. 16380: x=-679.831236m | y=-285.020853m
Heliostat No. 16440: x=-221.761786m | y=-704.389211m
Heliostat No. 16500: x=396.832860m | y=-649.270216m
Heliostat No. 16560: x=773.540203m | y=-155.520262m
Heliostat No. 16620: x=675.330770m | y=457.470680m
Heliostat No. 16680: x=153.349736m | y=795.381299m
Heliostat No. 16740: x=-449.990830m | y=644.955411m
Heliostat No. 16800: x=-752.239764m | y=101.546385m
Heliostat No. 16860: x=-561.804683m | y=-490.384579m
Heliostat No. 16920: x=0.599642m | y=-755.618743m
Heliostat No. 16980: x=578.471094m | y=-526.026994m
Heliostat No. 17040: x=816.354019m | y=56.981510m
Heliostat No. 17100: x=548.761850m | y=619.085452m
Heliostat No. 17160: x=-42.446052m | y=814.122950m
Heliostat No. 17220: x=-591.981192m | y=521.586558m
Heliostat No. 17280: x=-760.303340m | y=-77.774823m
Heliostat No. 17340: x=-443.411613m | y=-613.634920m
Heliostat No. 17400: x=162.896703m | y=-754.902878m
Heliostat No. 17460: x=684.003046m | y=-414.293735m
Heliostat No. 17520: x=807.607929m | y=204.816098m
Heliostat No. 17580: x=443.244669m | y=710.478225m
Heliostat No. 17640: x=-173.083339m | y=803.185062m
Heliostat No. 17700: x=-670.079238m | y=427.086873m
Heliostat No. 17760: x=-748.335872m | y=-191.242061m
Heliostat No. 17820: x=-360.708796m | y=-679.299456m
Heliostat No. 17880: x=259.282316m | y=-743.063016m
Heliostat No. 17940: x=738.133830m | y=-344.119412m
Heliostat No. 18000: x=795.664459m | y=287.053987m
Heliostat No. 18060: x=383.726922m | y=755.692134m
Heliostat No. 18120: x=-238.983848m | y=795.005538m
Heliostat No. 18180: x=-706.588531m | y=381.895252m
Heliostat No. 18240: x=-744.341784m | y=-240.912053m
Heliostat No. 18300: x=-330.061342m | y=-707.480337m
Heliostat No. 18360: x=292.838589m | y=-743.673201m
Heliostat No. 18420: x=758.367545m | y=-328.225203m
Heliostat No. 18480: x=803.738789m | y=297.380063m
Heliostat No. 18540: x=389.670781m | y=765.027176m
Heliostat No. 18600: x=-233.432887m | y=808.477787m
